county,id,city_name,lat,lon
York County,2021652,Alfred,43.4766497,-70.7168428
Androscoggin County,2535176,Auburn,44.0979903,-70.2312137
Aroostook County,2535177,Houlton,46.1251286,-67.8407944
Cumberland County,2535178,Portland,43.6573605,-70.2586618
Kennebec County,2535181,Augusta,44.3169922,-69.7734278
Penobscot County,2535185,Bangor,44.8016255,-68.7713289
Sagadahoc County,2535187,Bath,43.9133661,-69.8140298
Somerset County,2535189,Skowhegan,44.7650773,-69.7193802
Waldo County,2535190,Belfast,44.4261759,-69.0065207
