x,y,order,hole,piece,group,fips,abbr,full
-1422276.0,-1633531,273,FALSE,1,02.1,02,AK,Alaska
-1420317.7,-1627273,274,FALSE,1,02.1,02,AK,Alaska
-1418523.4,-1622921,275,FALSE,1,02.1,02,AK,Alaska
-1414802.7,-1617901,276,FALSE,1,02.1,02,AK,Alaska
-1409447.2,-1609538,277,FALSE,1,02.1,02,AK,Alaska
-1405784.5,-1604493,278,FALSE,1,02.1,02,AK,Alaska
-1398636.2,-1598601,279,FALSE,1,02.1,02,AK,Alaska
-1394200.6,-1600254,280,FALSE,1,02.1,02,AK,Alaska
-1389712.8,-1600845,281,FALSE,1,02.1,02,AK,Alaska
-1382056.1,-1597177,282,FALSE,1,02.1,02,AK,Alaska
-1372174.2,-1588309,283,FALSE,1,02.1,02,AK,Alaska
-1366370.3,-1581009,284,FALSE,1,02.1,02,AK,Alaska
-1362717.7,-1576643,285,FALSE,1,02.1,02,AK,Alaska
-1355271.3,-1572733,286,FALSE,1,02.1,02,AK,Alaska
-1354600.2,-1575688,287,FALSE,1,02.1,02,AK,Alaska
-1350730.9,-1577042,288,FALSE,1,02.1,02,AK,Alaska
-1346502.1,-1576973,289,FALSE,1,02.1,02,AK,Alaska
-1343301.0,-1575748,290,FALSE,1,02.1,02,AK,Alaska
-1338230.1,-1575141,291,FALSE,1,02.1,02,AK,Alaska
-1334150.9,-1572930,292,FALSE,1,02.1,02,AK,Alaska
-1328718.6,-1567779,293,FALSE,1,02.1,02,AK,Alaska
-1324830.4,-1561715,294,FALSE,1,02.1,02,AK,Alaska
-1320565.6,-1554348,295,FALSE,1,02.1,02,AK,Alaska
-1319059.3,-1551925,296,FALSE,1,02.1,02,AK,Alaska
-1315400.4,-1548526,297,FALSE,1,02.1,02,AK,Alaska
-1314927.9,-1551367,298,FALSE,1,02.1,02,AK,Alaska
-1311703.1,-1553140,299,FALSE,1,02.1,02,AK,Alaska
-1308232.6,-1553925,300,FALSE,1,02.1,02,AK,Alaska
-1307849.7,-1556843,301,FALSE,1,02.1,02,AK,Alaska
-1305617.4,-1556306,302,FALSE,1,02.1,02,AK,Alaska
-1301059.6,-1557224,303,FALSE,1,02.1,02,AK,Alaska
-1300104.2,-1560737,304,FALSE,1,02.1,02,AK,Alaska
-1300313.0,-1562508,305,FALSE,1,02.1,02,AK,Alaska
-1302923.0,-1565015,306,FALSE,1,02.1,02,AK,Alaska
-1303796.9,-1566795,307,FALSE,1,02.1,02,AK,Alaska
-1306669.5,-1567949,308,FALSE,1,02.1,02,AK,Alaska
-1307118.7,-1570310,309,FALSE,1,02.1,02,AK,Alaska
-1306352.4,-1573620,310,FALSE,1,02.1,02,AK,Alaska
-1303444.8,-1574611,311,FALSE,1,02.1,02,AK,Alaska
-1300577.1,-1573689,312,FALSE,1,02.1,02,AK,Alaska
-1299694.7,-1571691,313,FALSE,1,02.1,02,AK,Alaska
-1300081.0,-1568937,314,FALSE,1,02.1,02,AK,Alaska
-1297811.8,-1566127,315,FALSE,1,02.1,02,AK,Alaska
-1296254.7,-1561757,316,FALSE,1,02.1,02,AK,Alaska
-1293217.5,-1558262,317,FALSE,1,02.1,02,AK,Alaska
-1291461.4,-1559146,318,FALSE,1,02.1,02,AK,Alaska
-1286041.1,-1564879,319,FALSE,1,02.1,02,AK,Alaska
-1286439.7,-1568187,320,FALSE,1,02.1,02,AK,Alaska
-1285873.8,-1574050,321,FALSE,1,02.1,02,AK,Alaska
-1283718.4,-1573655,322,FALSE,1,02.1,02,AK,Alaska
-1281592.2,-1574020,323,FALSE,1,02.1,02,AK,Alaska
-1279096.1,-1576056,324,FALSE,1,02.1,02,AK,Alaska
-1275571.9,-1570378,325,FALSE,1,02.1,02,AK,Alaska
-1272178.8,-1570254,326,FALSE,1,02.1,02,AK,Alaska
-1268552.2,-1569646,327,FALSE,1,02.1,02,AK,Alaska
-1265749.8,-1567792,328,FALSE,1,02.1,02,AK,Alaska
-1262877.6,-1568032,329,FALSE,1,02.1,02,AK,Alaska
-1260643.6,-1569321,330,FALSE,1,02.1,02,AK,Alaska
-1257501.1,-1569138,331,FALSE,1,02.1,02,AK,Alaska
-1253319.5,-1569937,332,FALSE,1,02.1,02,AK,Alaska
-1250212.2,-1571365,333,FALSE,1,02.1,02,AK,Alaska
