x,y,order,hole,piece,group,fips,abbr,full,county
-1361238.8,-2297269,1296,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1361004.1,-2301686,1297,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1368881.7,-2301837,1298,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1368662.1,-2306256,1299,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1376556.0,-2306368,1300,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1376143.7,-2315212,1301,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1373762.0,-2315181,1302,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1372878.2,-2332863,1303,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1374456.7,-2332886,1304,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1374231.3,-2337307,1305,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1366350.9,-2337175,1306,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1365644.5,-2349720,1307,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1365882.3,-2350400,1308,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1368951.0,-2353231,1309,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1369905.1,-2353417,1310,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1370718.3,-2351125,1311,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1368733.5,-2349015,1312,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1368846.9,-2344169,1313,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1367815.7,-2341484,1314,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1369261.6,-2339698,1315,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1371627.4,-2339045,1316,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1373477.2,-2341614,1317,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1375790.2,-2341607,1318,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1378059.0,-2342196,1319,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1378707.8,-2345803,1320,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1380464.2,-2347879,1321,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1384225.0,-2349955,1322,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1387048.3,-2351945,1323,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1388740.4,-2355502,1324,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1388636.8,-2356858,1325,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1390080.9,-2358510,1326,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1393614.1,-2356573,1327,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1393827.0,-2359269,1328,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1396782.1,-2359679,1329,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1398264.7,-2358589,1330,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1401892.7,-2358601,1331,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1404463.1,-2361869,1332,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1408870.0,-2364526,1333,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1414915.7,-2364292,1334,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1415691.5,-2362958,1335,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1414854.5,-2360141,1336,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1414716.8,-2357271,1337,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1412429.9,-2353570,1338,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1412957.4,-2350580,1339,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1415277.6,-2350258,1340,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1417967.0,-2350932,1341,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1419714.7,-2353952,1342,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1420725.5,-2356289,1343,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1420206.0,-2361731,1344,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1422444.7,-2365714,1345,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1424585.1,-2368864,1346,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1423239.1,-2373509,1347,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1420624.8,-2374694,1348,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1416822.5,-2377318,1349,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1416064.4,-2379273,1350,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1419755.1,-2378572,1351,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1422381.4,-2379871,1352,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1425449.5,-2377364,1353,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1426780.7,-2376734,1354,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1429253.4,-2378624,1355,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1431009.1,-2377120,1356,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1432832.1,-2378916,1357,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1433537.6,-2380842,1358,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1433872.2,-2384227,1359,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1433784.9,-2388367,1360,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1434940.4,-2390405,1361,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1436680.8,-2390627,1362,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1438838.9,-2387536,1363,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1439073.7,-2385801,1364,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1438636.3,-2380327,1365,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1440170.9,-2379499,1366,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1442679.4,-2381847,1367,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1443130.4,-2383501,1368,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1446276.2,-2384096,1369,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1449543.9,-2385608,1370,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1451652.6,-2384337,1371,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1452966.2,-2382077,1372,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1455616.9,-2385426,1373,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1457787.2,-2387403,1374,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1460508.7,-2389700,1375,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1463075.3,-2391064,1376,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1461163.8,-2392855,1377,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1458604.8,-2393051,1378,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1455505.6,-2396357,1379,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1454616.5,-2399746,1380,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1459543.8,-2398030,1381,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1463992.5,-2398789,1382,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1468727.6,-2400387,1383,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1474844.4,-2399417,1384,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1481037.2,-2399703,1385,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1486816.0,-2402046,1386,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1488919.5,-2404408,1387,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1489308.0,-2407422,1388,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1492052.3,-2409574,1389,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1496928.1,-2410744,1390,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1499675.1,-2410411,1391,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1502788.8,-2408300,1392,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1503908.2,-2404743,1393,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1504974.6,-2402940,1394,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1505074.4,-2400523,1395,FALSE,1,02013.1,02013,AK,Alaska,Aleutians East Borough
-1582159.7,-2457400,1396,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1579470.8,-2455000,1397,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1576671.3,-2455043,1398,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1572984.2,-2452903,1399,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1570608.1,-2452758,1400,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1568115.2,-2451588,1401,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1565607.8,-2449510,1402,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1564163.1,-2448263,1403,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1564794.4,-2445380,1404,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1563312.5,-2444137,1405,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1562303.8,-2442567,1406,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1561430.1,-2440476,1407,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1560419.8,-2438133,1408,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1562839.8,-2435587,1409,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1563978.0,-2434079,1410,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1563897.9,-2432035,1411,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1560859.3,-2428313,1412,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1556752.3,-2426494,1413,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1553067.7,-2425485,1414,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1550455.6,-2425793,1415,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1548986.0,-2428749,1416,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1546909.8,-2430794,1417,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1544972.9,-2429345,1418,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1542793.4,-2427146,1419,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1540341.0,-2428645,1420,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1539294.9,-2428293,1421,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1539315.7,-2429629,1422,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1537603.3,-2431045,1423,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
-1538950.0,-2431939,1424,FALSE,1,02016.1,02016,AK,Alaska,Aleutians West Census Area
